timestamp,air_temp,humidity,soil_temp,target_temp,target_humidity,prev_fan_speed,prev_humidifier_mode,fan_speed,humidifier_mode
2024-09-27 12:58:10+05:30,26.96092286005601,89.67478341976673,24.084275978874864,24,65,30.0,1.0,70,0
2024-09-27 13:03:10+05:30,25.66824993656801,93.77620813981875,22.873636041318584,24,65,70.0,0.0,50,0
2024-09-27 13:08:10+05:30,26.278529788246352,93.94421571989533,24.404470454398815,24,65,50.0,0.0,70,0
2024-09-27 13:13:10+05:30,25.001972835759684,99.3330188077214,22.92582220351455,24,65,70.0,0.0,50,0
2024-09-27 13:18:10+05:30,25.76372069807385,98.27263776789208,23.573809062030243,24,65,50.0,0.0,50,0
2024-09-27 13:23:10+05:30,27.328392346548114,96.02858029362423,25.07446760626868,24,65,50.0,0.0,70,0
2024-09-27 13:28:10+05:30,27.480652698049003,97.40264064478184,25.070512729298418,24,65,70.0,0.0,70,0
2024-09-27 13:33:10+05:30,25.774672380296206,94.9995374592192,23.43423815794086,24,65,70.0,0.0,50,0
2024-09-27 13:38:10+05:30,26.55121578609235,92.0012232923422,23.886613581146026,24,65,50.0,0.0,70,0
2024-09-27 13:43:10+05:30,26.54005197497267,93.51915423637992,23.65109332333192,24,65,70.0,0.0,70,0
2024-09-27 13:48:10+05:30,25.20493418682216,96.92216056141204,22.264428763260963,24,65,70.0,0.0,50,0
2024-09-27 13:53:10+05:30,29.211680254242058,93.0297235618337,26.670480297090016,24,65,50.0,0.0,90,0
2024-09-27 13:58:10+05:30,26.244504341977255,94.25576838937128,24.232220623859998,24,65,90.0,0.0,70,0
2024-09-27 14:03:10+05:30,25.653726995780602,91.05288670000792,23.6414198033104,24,65,70.0,0.0,50,0
2024-09-27 14:08:10+05:30,27.648968381568636,98.2450102660936,25.002908031951126,24,65,50.0,0.0,70,0
2024-09-27 14:13:10+05:30,25.05292259967945,92.10097892813485,22.914000868428488,24,65,70.0,0.0,50,0
2024-09-27 14:18:10+05:30,26.7317605440545,95.33748063663886,24.34006270039101,24,65,50.0,0.0,70,0
2024-09-27 14:23:10+05:30,26.165927127165602,97.40040470770867,23.340402422899235,24,65,70.0,0.0,70,0
2024-09-27 14:28:10+05:30,26.374398201242418,96.92830367298332,24.260787184775282,24,65,70.0,0.0,70,0
2024-09-27 14:33:10+05:30,24.929986216016342,95.82365933689938,21.93073878066407,24,65,70.0,0.0,50,0
2024-09-27 14:38:10+05:30,26.88396876833702,93.04387104421282,24.517643373968372,24,65,50.0,0.0,70,0
2024-09-27 14:43:10+05:30,25.586130370686316,94.78582594052546,23.282382087338238,24,65,70.0,0.0,50,0
2024-09-27 14:48:10+05:30,26.71243185773758,98.01481049321896,25.14996667462018,24,65,50.0,0.0,70,0
2024-09-27 14:53:10+05:30,26.4792504146268,90.91340646750344,24.601339902311963,24,65,70.0,0.0,70,0
2024-09-27 14:58:10+05:30,28.56900459161283,92.8676301647226,26.005931159712937,24,65,70.0,0.0,90,0
2024-09-27 15:03:10+05:30,25.49817534750886,97.51499248631555,23.121702670451064,24,65,90.0,0.0,50,0
2024-09-27 15:08:10+05:30,28.51515273337023,93.02298047677257,26.418053309610325,24,65,50.0,0.0,90,0
2024-09-27 15:13:10+05:30,26.515975880303586,96.90724680048676,24.874969210773067,24,65,90.0,0.0,70,0
2024-09-27 15:18:10+05:30,26.484114157773917,94.79615388097983,24.954593878758754,24,65,70.0,0.0,70,0
2024-09-27 15:23:10+05:30,25.683149135052016,93.642249508404,23.747103976080265,24,65,70.0,0.0,50,0
2024-09-27 15:28:10+05:30,26.079984463527268,91.07570998533616,23.707011584004544,24,65,50.0,0.0,70,0
2024-09-27 15:33:10+05:30,24.63066708678932,92.08990406781001,21.912703356135996,24,65,70.0,0.0,50,0
2024-09-27 15:38:10+05:30,28.636635104329113,97.47283453478468,26.788073600936876,24,65,50.0,0.0,90,0
2024-09-27 15:43:10+05:30,27.16684964379116,95.7656346016723,24.640537095026374,24,65,90.0,0.0,70,0
2024-09-27 15:48:10+05:30,26.47899105501622,92.4678299911825,24.156165889921905,24,65,70.0,0.0,70,0
2024-09-27 15:53:10+05:30,23.93929918479424,95.14022461581601,21.227071954675523,24,65,70.0,0.0,30,0
2024-09-27 15:58:10+05:30,25.540175407628958,95.49434387628085,23.610623213453138,24,65,30.0,0.0,50,0
2024-09-27 16:03:10+05:30,28.334805248338803,96.80639922690811,26.609648777418954,24,65,50.0,0.0,90,0
2024-09-27 16:08:10+05:30,26.64221556870518,92.21561428678174,24.813237899644356,24,65,90.0,0.0,70,0
2024-09-27 16:13:10+05:30,27.920098932961523,96.48278253452114,26.36984251713158,24,65,70.0,0.0,70,0
2024-09-27 16:18:10+05:30,25.162923980941095,96.19152132068122,22.65248578026916,24,65,70.0,0.0,50,0
2024-09-27 16:23:10+05:30,24.704225934760036,92.86104198317994,22.397197754461217,24,65,50.0,0.0,50,0
2024-09-27 16:28:10+05:30,25.650166739510528,93.89256596594832,23.82394745350899,24,65,50.0,0.0,50,0
2024-09-27 16:33:10+05:30,26.45621129702557,92.39966178067964,24.320359332948776,24,65,50.0,0.0,70,0
2024-09-27 16:38:10+05:30,24.051840793072063,91.46540473460274,21.22848296971329,24,65,70.0,0.0,50,0
2024-09-27 16:43:10+05:30,26.368211323472845,94.12655216568758,23.545096114755076,24,65,50.0,0.0,70,0
