                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4685,                 7.9996,                  2.717,                0.00061,                0.14803,                0.00035,                  7e-05,                 4.6524,                    inf,                 24.719,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.6337,                 2.8569,                 1.8951,                0.12302,                0.11473,                0.03026,                0.00947,                  4.293,                 5.8336,                 5.8937,             0.00098659,             0.00098659,             0.00098659
                      3,                 1.7296,                 2.3734,                 2.1302,                0.00035,                0.06861,                0.00018,                  4e-05,                 5.3418,                    inf,                 117.48,              0.0013238,              0.0013238,              0.0013238
                      4,                  1.551,                 2.2187,                 1.9867,                0.12312,                0.23195,                0.06082,                0.02746,                 3.4338,                    inf,                 4.3744,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.4958,                 1.9716,                 2.0489,                0.18494,                0.19244,                0.10025,                0.03335,                 3.2369,                 3.9384,                 3.5866,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.3544,                 1.9286,                 1.8949,                0.24299,                0.28504,                0.15443,                0.06082,                 2.9234,                  2.528,                 3.2007,             0.00084184,             0.00084184,             0.00084184
                      7,                  1.236,                 1.7929,                 1.7157,                0.30449,                0.45862,                0.24851,                0.12332,                 2.2043,                 2.0872,                 2.4089,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.0988,                 1.6708,                 1.6491,                0.35255,                0.35934,                0.24489,                0.12722,                 2.2785,                 2.1294,                 2.4042,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.0852,                 1.7371,                 1.5423,                0.43088,                0.70125,                0.38452,                0.27268,                 1.5034,                 1.6938,                 1.7356,             0.00034674,             0.00034674,             0.00034674
                     10,                0.96192,                 1.6498,                 1.5189,                0.40457,                0.63454,                0.37742,                0.27324,                 1.5185,                 1.7043,                 1.7423,              0.0001817,              0.0001817,              0.0001817
