                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5442,                 3.8437,                  1.986,                 0.1977,                0.18019,                0.11447,                0.05134,                 2.6465,                 15.752,                 2.8023,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.0607,                 2.3402,                 1.6817,                0.21969,                0.33166,                0.19645,                0.06121,                 2.7061,                 94.304,                 3.6329,             0.00049631,             0.00049631,             0.00049631
                      3,                 1.2358,                  2.067,                 1.8268,                0.31734,                0.21259,                0.14221,                0.05274,                  2.483,                 10.365,                 3.2154,             0.00072144,             0.00072144,             0.00072144
                      4,                 1.3766,                 2.1258,                  1.806,                0.20508,                0.22813,                0.16682,                0.08608,                 2.3504,                 22.764,                 3.5823,             0.00092545,             0.00092545,             0.00092545
                      5,                 1.3661,                 2.0438,                 1.8593,                 0.0968,                 0.2862,                0.05229,                0.01392,                 3.3271,                 30.938,                 4.7126,              0.0011083,              0.0011083,              0.0011083
                      6,                 1.1705,                 1.8759,                 1.7792,                0.10997,                0.08208,                0.04642,                0.01212,                 3.4838,                  8.906,                 4.9673,              0.0012701,              0.0012701,              0.0012701
                      7,                 1.4024,                  2.841,                 1.9503,                  0.596,                0.16438,                0.10655,                0.03967,                 2.6403,                 15.003,                 3.5368,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.4205,                 2.1692,                 1.9095,                 0.5122,                0.08562,                0.00413,                0.00126,                    nan,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                      9,                  1.354,                 1.9567,                 1.9535,                0.03291,                0.23841,                0.01548,                 0.0045,                 3.3404,                 276.38,                 44.285,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.2108,                 1.8011,                 1.7524,                0.12042,                0.24052,                0.05768,                0.01905,                 2.6286,                 13.263,                 12.602,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.2682,                 1.6029,                    1.8,                0.12935,                0.19942,                0.07198,                0.02821,                 2.6931,                 4.0913,                 5.1489,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.1782,                 1.6245,                   1.74,                0.01473,                0.21523,                0.00772,                0.00229,                 3.0312,                 109.31,                 22.137,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.0586,                 1.5393,                 1.6657,                0.20058,                 0.3235,                0.07288,                0.02536,                 2.5629,                 47.432,                 5.1456,             0.00087484,             0.00087484,             0.00087484
                     14,                0.99656,                 1.4605,                 1.6095,                0.75912,                0.25342,                0.26325,                0.13905,                 1.8146,                 3.0306,                 2.0562,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.0714,                 1.5111,                 1.6537,                0.27315,                0.21444,                0.16137,                0.06968,                 1.9357,                 3.2995,                 2.2398,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.5832,                 2.0686,                 2.0219,                0.27098,                0.40991,                0.28389,                0.17424,                 1.5543,                 1.8437,                 1.9809,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.5259,                 2.1025,                 2.1037,                0.30453,                0.36221,                0.32278,                0.19006,                 1.5695,                 1.8085,                 1.9421,             0.00061079,             0.00061079,             0.00061079
                     18,                  1.471,                 2.0289,                 2.0276,                0.33674,                0.45732,                0.34546,                0.21276,                 1.5518,                 1.8199,                 2.0483,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.2256,                 1.8954,                 1.9831,                0.28576,                0.39963,                0.30973,                0.18554,                 1.6273,                 1.7813,                 2.0069,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.3838,                 2.0172,                 1.9716,                0.36732,                0.49236,                0.32339,                0.22354,                 1.3438,                 1.6664,                 1.8539,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.3733,                 1.8378,                 2.0104,                0.41399,                0.33509,                 0.3336,                0.22593,                 1.3541,                 1.7631,                 1.8542,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.3417,                 1.8535,                 1.9942,                0.43835,                0.42229,                0.39515,                0.26246,                 1.2976,                 1.6882,                 1.8558,             0.00028072,             0.00028072,             0.00028072
                     23,                 1.2716,                 1.8025,                 1.9081,                 0.4535,                0.39621,                0.39899,                0.27122,                 1.2807,                 1.5488,                 1.8182,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.2668,                 1.7545,                 1.9501,                0.42151,                 0.4429,                0.40462,                0.27987,                 1.2493,                 1.4972,                 1.8125,              0.0001487,              0.0001487,              0.0001487
                     25,                 1.2191,                 1.5841,                 1.9199,                0.44088,                0.42181,                0.39098,                 0.2814,                 1.2472,                 1.4977,                 1.7807,             8.2683e-05,             8.2683e-05,             8.2683e-05
