                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89941,                 2.0574,                 1.4638,                0.41351,                0.39393,                0.35106,                0.22675,                    1.9,                 2.3837,                  1.809,             0.00047346,             0.00047346,             0.00047346
                      2,                0.88094,                 1.5246,                 1.4817,                0.36262,                0.40352,                 0.2864,                0.19613,                 1.7025,                 2.5418,                 2.2339,             0.00093099,             0.00093099,             0.00093099
                      3,                0.87337,                 1.5235,                 1.4884,                 0.4418,                0.42215,                0.31352,                0.20485,                  1.884,                  1.996,                 1.8144,              0.0013697,              0.0013697,              0.0013697
                      4,                0.81706,                 1.4725,                 1.4473,                0.45739,                0.57762,                0.39516,                0.30374,                 1.5641,                 1.6242,                 1.6049,              0.0013441,              0.0013441,              0.0013441
                      5,                0.79259,                 1.4704,                 1.4351,                0.46283,                0.51979,                0.41054,                0.31728,                 1.4877,                 1.8152,                 1.5271,              0.0013158,              0.0013158,              0.0013158
                      6,                0.72872,                 1.3267,                 1.3731,                0.57714,                0.59071,                0.44034,                 0.3599,                 1.4883,                 1.6899,                 1.5563,              0.0012875,              0.0012875,              0.0012875
                      7,                0.68179,                 1.2839,                 1.3292,                0.54112,                0.55942,                0.44129,                0.35691,                 1.4184,                 1.5652,                 1.4784,              0.0012592,              0.0012592,              0.0012592
                      8,                0.66276,                  1.232,                 1.3175,                0.53441,                0.64525,                0.45317,                0.36827,                 1.3641,                  1.443,                  1.467,              0.0012309,              0.0012309,              0.0012309
                      9,                0.68679,                 1.2238,                 1.3171,                0.58579,                0.63145,                0.46658,                0.37708,                 1.3438,                 1.4608,                 1.3913,              0.0012026,              0.0012026,              0.0012026
                     10,                 0.6665,                 1.2154,                 1.3151,                0.53739,                0.61994,                0.45309,                0.34874,                 1.3178,                 1.4175,                 1.3852,              0.0011744,              0.0011744,              0.0011744
                     11,                0.65351,                 1.2003,                 1.3039,                  0.505,                0.56115,                0.44788,                0.35436,                 1.2982,                  1.424,                 1.3205,              0.0011461,              0.0011461,              0.0011461
                     12,                0.60675,                 1.1326,                 1.2734,                0.54719,                0.66118,                0.48109,                0.38073,                 1.2456,                 1.3282,                 1.3127,              0.0011178,              0.0011178,              0.0011178
                     13,                0.59771,                 1.0944,                 1.2624,                0.56973,                0.62097,                0.46303,                0.36665,                  1.259,                 1.3684,                 1.3156,              0.0010895,              0.0010895,              0.0010895
                     14,                0.60344,                 1.1234,                 1.2606,                0.59516,                0.62889,                0.46981,                  0.369,                 1.2169,                 1.3609,                 1.2204,              0.0010612,              0.0010612,              0.0010612
                     15,                0.57895,                 1.0616,                 1.2305,                0.58431,                0.65442,                0.48581,                0.38493,                 1.2356,                 1.3028,                  1.283,              0.0010329,              0.0010329,              0.0010329
                     16,                0.56941,                 1.0339,                 1.2243,                0.56378,                0.66143,                0.49969,                0.40336,                 1.1862,                 1.2834,                 1.1856,              0.0010046,              0.0010046,              0.0010046
                     17,                0.58376,                  1.051,                 1.2261,                0.59576,                0.66053,                0.52878,                0.41937,                 1.1823,                 1.2123,                 1.1883,             0.00097629,             0.00097629,             0.00097629
                     18,                0.56429,                0.99618,                 1.2188,                0.56265,                0.68222,                0.50214,                0.39594,                 1.1598,                 1.2227,                 1.2004,               0.000948,               0.000948,               0.000948
                     19,                0.57134,                  1.045,                 1.2175,                0.57954,                0.68711,                0.51601,                0.41699,                 1.1321,                 1.1898,                 1.1725,              0.0009197,              0.0009197,              0.0009197
                     20,                0.56638,                 1.0075,                 1.2274,                0.53456,                0.63684,                0.49526,                0.39596,                 1.1531,                 1.2585,                 1.1645,             0.00089141,             0.00089141,             0.00089141
                     21,                0.53878,                0.95255,                 1.1864,                 0.5689,                0.65554,                0.53465,                0.42601,                 1.1232,                 1.2305,                 1.1382,             0.00086312,             0.00086312,             0.00086312
                     22,                0.51959,                0.93022,                 1.1782,                 0.5852,                0.68069,                0.50998,                0.41404,                 1.1175,                 1.1563,                 1.1483,             0.00083482,             0.00083482,             0.00083482
                     23,                0.54737,                0.93318,                 1.1948,                0.58074,                0.69061,                0.51483,                0.42136,                 1.1038,                 1.1689,                  1.167,             0.00080653,             0.00080653,             0.00080653
                     24,                0.54071,                0.97752,                 1.1932,                0.59113,                0.69105,                0.53289,                0.42681,                 1.0802,                 1.1835,                 1.1038,             0.00077823,             0.00077823,             0.00077823
                     25,                0.52747,                0.94591,                 1.1801,                0.56315,                0.69608,                 0.5335,                 0.4276,                 1.0768,                 1.1408,                 1.0868,             0.00074994,             0.00074994,             0.00074994
                     26,                0.51904,                0.88589,                 1.1871,                0.55575,                0.70804,                0.56321,                0.45693,                 1.0238,                 1.0516,                 1.0749,             0.00072164,             0.00072164,             0.00072164
                     27,                0.48889,                0.88411,                 1.1694,                0.58119,                0.72979,                0.54348,                0.42525,                  1.019,                 1.0627,                 1.1575,             0.00069335,             0.00069335,             0.00069335
                     28,                0.50116,                0.87635,                 1.1643,                0.60763,                0.66295,                0.58061,                0.46913,                 1.0233,                 1.0753,                 1.0885,             0.00066506,             0.00066506,             0.00066506
                     29,                0.47022,                0.83506,                 1.1381,                0.59474,                0.71417,                0.57738,                0.47728,                 0.9953,                 1.0349,                 1.1143,             0.00063676,             0.00063676,             0.00063676
                     30,                0.50769,                0.83937,                 1.1712,                0.57094,                0.73004,                0.57546,                0.47233,                0.94164,                 1.0282,                 1.0559,             0.00060847,             0.00060847,             0.00060847
                     31,                0.50039,                0.85034,                 1.1669,                0.58456,                0.69803,                0.58483,                0.48245,                0.96323,                 1.0611,                 1.1165,             0.00058017,             0.00058017,             0.00058017
                     32,                0.49935,                0.83087,                 1.1606,                0.59102,                0.72667,                0.59182,                0.47535,                0.94968,                 1.0239,                  1.068,             0.00055188,             0.00055188,             0.00055188
                     33,                0.46935,                0.80694,                 1.1388,                0.58268,                0.71758,                0.60264,                0.50818,                0.89547,                0.98563,                  1.044,             0.00052359,             0.00052359,             0.00052359
                     34,                0.45854,                0.78809,                 1.1294,                0.59816,                0.73918,                0.59584,                0.50271,                0.89134,                0.96167,                 1.0512,             0.00049529,             0.00049529,             0.00049529
                     35,                0.47933,                 0.7824,                 1.1333,                0.57303,                0.72779,                0.62212,                0.51561,                 0.8785,                0.94908,                 1.0219,               0.000467,               0.000467,               0.000467
                     36,                0.44015,                0.74663,                 1.1158,                 0.5938,                0.74326,                0.63057,                0.53702,                0.85865,                0.91303,                 1.0303,              0.0004387,              0.0004387,              0.0004387
                     37,                0.47308,                0.77178,                 1.1369,                0.61195,                0.74823,                0.63883,                0.54184,                0.85038,                0.90468,                  1.033,             0.00041041,             0.00041041,             0.00041041
                     38,                0.45327,                0.76819,                 1.1276,                0.59279,                0.74855,                0.62346,                0.53166,                0.85223,                0.97919,                 1.0614,             0.00038211,             0.00038211,             0.00038211
                     39,                0.47364,                0.75975,                 1.1486,                 0.6005,                0.77173,                0.65531,                0.54992,                0.79903,                0.86801,                 1.0096,             0.00035382,             0.00035382,             0.00035382
                     40,                0.45246,                0.72435,                 1.1209,                0.59215,                0.77346,                0.65337,                0.54256,                0.78702,                 0.8656,                0.98779,             0.00032553,             0.00032553,             0.00032553
                     41,                0.71527,                0.86644,                 1.2538,                0.60532,                0.75498,                0.64467,                0.53005,                0.78381,                0.87806,                0.98145,             0.00029723,             0.00029723,             0.00029723
                     42,                 0.7114,                0.84647,                 1.2126,                0.58454,                0.77699,                0.64951,                0.55098,                0.77602,                0.83688,                0.96919,             0.00026894,             0.00026894,             0.00026894
                     43,                 0.7136,                0.83975,                 1.2186,                0.59913,                0.78507,                0.65033,                0.54646,                0.75948,                 0.8527,                0.98486,             0.00024064,             0.00024064,             0.00024064
                     44,                0.69404,                0.81128,                 1.1919,                0.56835,                0.77108,                0.64618,                0.53454,                0.76295,                0.85082,                0.96176,             0.00021235,             0.00021235,             0.00021235
                     45,                0.67122,                0.81918,                 1.1715,                  0.592,                0.79754,                0.68077,                0.56663,                0.74859,                0.77584,                0.95288,             0.00018406,             0.00018406,             0.00018406
                     46,                0.67124,                 0.7538,                 1.1887,                0.59715,                0.78358,                0.68196,                0.57804,                0.73783,                 0.7753,                0.94194,             0.00015576,             0.00015576,             0.00015576
                     47,                0.69481,                0.76604,                 1.1981,                0.61004,                0.78591,                0.70497,                0.59139,                0.72448,                  0.749,                0.93371,             0.00012747,             0.00012747,             0.00012747
                     48,                0.63396,                0.72429,                 1.1494,                0.62522,                0.80065,                0.69926,                0.59481,                0.70837,                0.72615,                0.91596,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 0.6535,                0.70339,                 1.1558,                0.61695,                0.81154,                 0.7121,                0.60595,                0.70543,                0.71481,                0.91296,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.64331,                0.69921,                 1.1389,                0.61657,                0.81253,                0.71721,                0.60881,                0.69731,                0.70488,                0.90591,             4.2584e-05,             4.2584e-05,             4.2584e-05
